"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","15","0.0-0.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","","","","","","","","","","","","","","",""
"instructions","1","4959","0.0-1.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","[{""page_index"":0,""viewing_time"":4942}]","4942","","","","","","","","","","","","","",""
"","","","","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","","fullscreenenter","2","20732","fullscreenenter","","","","","","","","","",""
"fullscreen","2","21672","0.0-2.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","","","","","","true","","","","","","","","",""
"instructions","3","255597","0.0-4.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","[{""page_index"":0,""viewing_time"":26188},{""page_index"":1,""viewing_time"":201598},{""page_index"":2,""viewing_time"":6135}]","233922","","","","","","","","","","","","","",""
"html-keyboard-response","4","256101","0.0-5.0-1.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","260686","0.0-5.0-2.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","4581","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12","NOW"
"html-keyboard-response","6","260944","0.0-5.0-3.0","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$60<br>in<br>12 weeks","1","54","60","12",""
"html-keyboard-response","7","261448","0.0-5.0-1.1","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","263150","0.0-5.0-2.1","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","1699","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","NOW"
"html-keyboard-response","9","263404","0.0-5.0-3.1","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"html-keyboard-response","10","263907","0.0-5.0-1.2","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","267054","0.0-5.0-2.2","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","3145","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br><br>now</div></div><div class='cr'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br><br>now","$75<br>in<br>12 weeks","0","67","75","12","NOW"
"html-keyboard-response","12","267310","0.0-5.0-3.2","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$67<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$75<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br><br>now","$75<br>in<br>12 weeks","0","67","75","12",""
"html-keyboard-response","13","267813","0.0-5.0-1.3","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","14","270766","0.0-5.0-2.3","63e5ffdf639ebdcf35aacb09","bdp_td","Sun Mar 26 2023 20:29:51 GMT+0200 (Central European Summer Time)","338415","","2949","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$60<br>in<br>3 weeks","0","25","60","3","THEN"
