"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","","","","","","","","","","","","","","",""
"instructions","1","804","0.0-1.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","[{""page_index"":0,""viewing_time"":801}]","801","","","","","","","","","","","","","",""
"","","","","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","","fullscreenenter","2","3209","fullscreenenter","","","","","","","","","",""
"fullscreen","2","4191","0.0-2.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","","","","","","true","","","","","","","","",""
"instructions","3","37024","0.0-4.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","[{""page_index"":0,""viewing_time"":25823},{""page_index"":1,""viewing_time"":5609},{""page_index"":2,""viewing_time"":1400}]","32832","","","","","","","","","","","","","",""
"html-keyboard-response","4","37528","0.0-5.0-1.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","39121","0.0-5.0-2.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","1591","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"html-keyboard-response","6","39373","0.0-5.0-3.0","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"html-keyboard-response","7","39875","0.0-5.0-1.1","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","40896","0.0-5.0-2.1","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","1021","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6","NOW"
"html-keyboard-response","9","41147","0.0-5.0-3.1","6400d9993ddcc2436a9f2e1a","bdp_td","Mon Mar 27 2023 13:17:27 GMT-0600 (Mountain Daylight Time)","96925","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6",""
