"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","17","0.0-0.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","","","","","","","","","","","","","","",""
"instructions","1","4466","0.0-1.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","[{""page_index"":0,""viewing_time"":4447}]","4448","","","","","","","","","","","","","",""
"","","","","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","","fullscreenenter","2","6908","fullscreenenter","","","","","","","","","",""
"fullscreen","2","7870","0.0-2.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","","","","","","true","","","","","","","","",""
"instructions","3","62821","0.0-4.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","[{""page_index"":0,""viewing_time"":20725},{""page_index"":1,""viewing_time"":24768},{""page_index"":2,""viewing_time"":9456}]","54949","","","","","","","","","","","","","",""
"html-keyboard-response","4","63325","0.0-5.0-1.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","67287","0.0-5.0-2.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","3960","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$54<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$55<br>in<br>12 weeks","1","54","55","12","NOW"
"html-keyboard-response","6","67541","0.0-5.0-3.0","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$55<br>in<br>12 weeks","1","54","55","12",""
"html-keyboard-response","7","68043","0.0-5.0-1.1","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","71910","0.0-5.0-2.1","6400ed09421b2727c2f7c553","bdp_td","Sat Mar 25 2023 22:12:40 GMT-0400 (Eastern Daylight Time)","178065","","3866","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br><br>now","$50<br>in<br>3 weeks","0","27","50","3","THEN"
