"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","6","0.0-0.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","","","","","","","","","","","","","","",""
"instructions","1","4791","0.0-1.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","[{""page_index"":0,""viewing_time"":4785}]","4785","","","","","","","","","","","","","",""
"","","","","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","","fullscreenenter","2","8088","fullscreenenter","","","","","","","","","",""
"fullscreen","2","9079","0.0-2.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","","","","","","true","","","","","","","","",""
"instructions","3","34042","0.0-4.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","[{""page_index"":0,""viewing_time"":6733},{""page_index"":1,""viewing_time"":8797},{""page_index"":2,""viewing_time"":9432}]","24962","","","","","","","","","","","","","",""
"html-keyboard-response","4","34549","0.0-5.0-1.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","38986","0.0-5.0-2.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","4435","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","NOW"
"html-keyboard-response","6","39246","0.0-5.0-3.0","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"html-keyboard-response","7","39758","0.0-5.0-1.1","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","44267","0.0-5.0-2.1","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","4508","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3","THEN"
"html-keyboard-response","9","44526","0.0-5.0-3.1","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3",""
"html-keyboard-response","10","45038","0.0-5.0-1.2","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","48564","0.0-5.0-2.2","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","3525","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2","THEN"
"html-keyboard-response","12","48819","0.0-5.0-3.2","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2",""
"html-keyboard-response","13","49326","0.0-5.0-1.3","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","14","52853","0.0-5.0-2.3","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","3525","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"html-keyboard-response","15","53107","0.0-5.0-3.3","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"html-keyboard-response","16","53614","0.0-5.0-1.4","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","17","57316","0.0-5.0-2.4","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","3701","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","NOW"
"html-keyboard-response","18","57571","0.0-5.0-3.4","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"html-keyboard-response","19","58078","0.0-5.0-1.5","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","20","60822","0.0-5.0-2.5","fertuck1","bdp_td","Sat Mar 11 2023 12:46:38 GMT-0500 (Eastern Standard Time)","138772","","2742","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6","NOW"
