"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","13","0.0-0.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","1471","0.0-1.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1455}]","1456","","","","","","","","","","","","","","","","","",""
"","","","","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","","fullscreenenter","2","2733","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","3717","0.0-2.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","13797","0.0-4.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":9254},{""page_index"":1,""viewing_time"":823}]","10077","","","","","","","","","","","","","","","","","",""
"instructions","4","14427","0.0-5.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":629}]","629","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","17428","0.0-6.0-1.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","2893","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","6","17643","0.0-6.0-2.0","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","30092","0.0-6.0-1.1","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","12339","","","","rating","","trustrating_stim/white_mw089.bmp","6","","","","","","","","","","",""
"image-keyboard-response","8","30295","0.0-6.0-2.1","5783d80d275be60001358349","bdp_trlrn","Tue Mar 14 2023 20:28:50 GMT-0500 (Central Daylight Time)","695191","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
