"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","pavlovia","0","9","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","instructions","1","4146","0.0-1.0","[{""page_index"":0,""viewing_time"":4136}]","4136","","","","","","","","","","","","","",""
"fullscreenenter","2","6454","fullscreenenter","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","fullscreen","2","7407","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","instructions","3","31808","0.0-4.0","[{""page_index"":0,""viewing_time"":17730},{""page_index"":1,""viewing_time"":6668}]","24398","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","instructions","4","34804","0.0-5.0","[{""page_index"":0,""viewing_time"":2996}]","2996","","","","","","","","","","","","","",""
"","","","rating","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","image-keyboard-response","5","37567","0.0-6.0-1.0","","2660","","trustrating_stim/white_00761_941201_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","image-keyboard-response","6","37776","0.0-6.0-2.0","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5bf0cb0411439b000168edda","bdp_trlrn","Wed Mar 15 2023 23:36:35 GMT-0400 (Eastern Daylight Time)","798962","Trustworthy,Untrustworthy","image-keyboard-response","7","41680","0.0-6.0-1.1","","3794","","trustrating_stim/white_00898_960530_fa_edt.bmp","2","","","","","","","","","","",""
