"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","11","0.0-0.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"instructions","1","18338","0.0-1.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":18324}]","18324","","","","","","","","","","","","","","","",""
"","","","","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","","fullscreenenter","2","23022","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","24010","0.0-2.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","",""
"instructions","3","41918","0.0-4.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":9706},{""page_index"":1,""viewing_time"":8192}]","17898","","","","","","","","","","","","","","","",""
"instructions","4","43157","0.0-5.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1238}]","1238","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","45038","0.0-6.0-1.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","1775","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","1","","","","","","","","",""
"image-keyboard-response","6","45241","0.0-6.0-2.0","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","7","47597","0.0-6.0-1.1","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","2254","","","","rating","","trustrating_stim/white_00897_960530_fb_edt.bmp","4","","","","","","","","",""
"image-keyboard-response","8","47800","0.0-6.0-2.1","5d043ab70e44360016a3e99b","bdp_trlrn","Tue May 11 2021 16:05:16 GMT-0600 (Mountain Daylight Time)","582722","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","",""
