"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","4","0.0-0.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2183","0.0-1.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2178}]","2178","","","","","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","blur","2","10398","blurevent","1","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","focus","2","13615","focusevent","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","blur","2","15083","blurevent","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","focus","2","34791","focusevent","","","","","","","","","","","","","","",""
"","","","","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","fullscreenenter","2","36202","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","37182","0.0-2.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","44951","0.0-4.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":3100},{""page_index"":1,""viewing_time"":4664}]","7764","","","","","","","","","","","","","","","","","","",""
"instructions","4","45719","0.0-5.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":767}]","767","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","48424","0.0-6.0-1.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","2602","","","","rating","","","trustrating_stim/white_00340_940422_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","6","48639","0.0-6.0-2.0","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","49503","0.0-6.0-1.1","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","761","","","","rating","","","trustrating_stim/white_00785_941205_fb_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","8","49704","0.0-6.0-2.1","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","51120","0.0-6.0-1.2","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","1314","","","","rating","","","trustrating_stim/white_mw089.bmp","5","","","","","","","","","","",""
"image-keyboard-response","10","51322","0.0-6.0-2.2","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","52703","0.0-6.0-1.3","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","1280","","","","rating","","","trustrating_stim/white_00577_940928_fa_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","12","52906","0.0-6.0-2.3","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","53775","0.0-6.0-1.4","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","767","","","","rating","","","trustrating_stim/white_mw053.bmp","2","","","","","","","","","","",""
"image-keyboard-response","14","53977","0.0-6.0-2.4","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","54919","0.0-6.0-1.5","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","840","","","","rating","","","trustrating_stim/white_00109_931230_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","16","55121","0.0-6.0-2.5","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","56303","0.0-6.0-1.6","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","1080","","","","rating","","","trustrating_stim/white_00898_960530_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","18","56505","0.0-6.0-2.6","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","57591","0.0-6.0-1.7","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","984","","","","rating","","","trustrating_stim/white_mw063.bmp","4","","","","","","","","","","",""
"image-keyboard-response","20","57793","0.0-6.0-2.7","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","21","58911","0.0-6.0-1.8","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","1017","","","","rating","","","trustrating_stim/white_mw060.bmp","2","","","","","","","","","","",""
"image-keyboard-response","22","59113","0.0-6.0-2.8","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"image-keyboard-response","23","60655","0.0-6.0-1.9","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","1440","","","","rating","","","trustrating_stim/white_mw097.bmp","1","","","","","","","","","","",""
"image-keyboard-response","24","60856","0.0-6.0-2.9","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","",""
"image-keyboard-response","25","61808","0.0-6.0-1.10","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","849","","","","rating","","","trustrating_stim/white_00120_931230_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","26","62008","0.0-6.0-2.10","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","27","63023","0.0-6.0-1.11","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","913","","","","rating","","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","28","63226","0.0-6.0-2.11","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","29","64119","0.0-6.0-1.12","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","791","","","","rating","","","trustrating_stim/white_mw049.bmp","5","","","","","","","","","","",""
"image-keyboard-response","30","64320","0.0-6.0-2.12","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"image-keyboard-response","31","65727","0.0-6.0-1.13","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","1305","","","","rating","","","trustrating_stim/white_mw071.bmp","4","","","","","","","","","","",""
"image-keyboard-response","32","65929","0.0-6.0-2.13","5d63f9cd26a2ac001758c70d","bdp_trlrn","Thu Jul 28 2022 00:08:29 GMT-0400 (Eastern Daylight Time)","499951","Untrustworthy,Trustworthy","","null","","","","ratingFB","","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
