"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","instructions","1","3670","0.0-1.0","[{""page_index"":0,""viewing_time"":3667}]","3667","","","","","","","","","","","","","",""
"fullscreenexit","2","6073","fullscreenexit","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","fullscreen","2","7058","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","image-keyboard-response","3","8146","0.0-3.0-0.0","","1086","","","32","","","","","","","","","","",""
"","","","","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","instructions","4","20825","0.0-4.0","[{""page_index"":0,""viewing_time"":7013},{""page_index"":1,""viewing_time"":5414}]","12427","","","","","","","","","","","","","",""
"","","","","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","instructions","5","21648","0.0-5.0","[{""page_index"":0,""viewing_time"":822}]","823","","","","","","","","","","","","","",""
"","","","rating","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","image-keyboard-response","6","23174","0.0-6.0-1.0","","1424","","trustrating_stim/white_mw063.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","image-keyboard-response","7","23375","0.0-6.0-2.0","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"","","","rating","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","image-keyboard-response","8","25000","0.0-6.0-1.1","","1521","","trustrating_stim/white_mw048.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5de7fd8df31ad27743f8d19f","bdp_trlrn","Thu Jul 28 2022 12:00:08 GMT-0400 (Eastern Daylight Time)","544226","Untrustworthy,Trustworthy","image-keyboard-response","9","25201","0.0-6.0-2.1","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
