"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","pavlovia","0","26","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","instructions","1","1796","0.0-1.0","[{""page_index"":0,""viewing_time"":1768}]","1768","","","","","","","","","","","","","","",""
"blur","2","3441","blurevent","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","","","","","","","1","","","","","","","","","","","","","",""
"focus","2","8530","focusevent","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","9590","fullscreenexit","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","fullscreen","2","10377","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","3","12254","0.0-3.0-0.0","","1873","","","","32","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","instructions","4","13977","0.0-4.0","[{""page_index"":0,""viewing_time"":955},{""page_index"":1,""viewing_time"":515}]","1471","","","","","","","","","","","","","","",""
"","","","","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","instructions","5","17437","0.0-5.0","[{""page_index"":0,""viewing_time"":3459}]","3459","","","","","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","6","20275","0.0-6.0-1.0","","2735","","","trustrating_stim/white_00129_931230_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","7","20481","0.0-6.0-2.0","","null","","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","8","21248","0.0-6.0-1.1","","664","","","trustrating_stim/white_00659_941121_fa_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","9","21455","0.0-6.0-2.1","","null","","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","10","22242","0.0-6.0-1.2","","682","","","trustrating_stim/white_00577_940928_fa_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","11","22446","0.0-6.0-2.2","","null","","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","12","23395","0.0-6.0-1.3","","842","","","trustrating_stim/white_00807_941205_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","13","23598","0.0-6.0-2.3","","null","","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","14","25280","0.0-6.0-1.4","","1575","","","trustrating_stim/white_00602_940928_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","15","25486","0.0-6.0-2.4","","null","","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","16","27265","0.0-6.0-1.5","","1676","","","trustrating_stim/white_00109_931230_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","17","27468","0.0-6.0-2.5","","null","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","18","28150","0.0-6.0-1.6","","580","","","trustrating_stim/white_00761_941201_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","5e7fb4743c00ce69510024fb","bdp_trlrn","Tue Mar 14 2023 19:51:09 GMT-0500 (Central Daylight Time)","588785","Untrustworthy,Trustworthy","image-keyboard-response","19","28355","0.0-6.0-2.6","","null","","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
