"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","8","0.0-0.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","5552","0.0-1.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":5543}]","5543","","","","","","","","","","","","","","","","","",""
"","","","","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","","fullscreenenter","2","12464","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","13456","0.0-2.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","38265","0.0-4.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":12920},{""page_index"":1,""viewing_time"":11885}]","24806","","","","","","","","","","","","","","","","","",""
"instructions","4","41752","0.0-5.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":3485}]","3485","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","45346","0.0-6.0-1.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","3485","","","","rating","","trustrating_stim/white_00340_940422_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","6","45554","0.0-6.0-2.0","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","51656","0.0-6.0-1.1","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","5990","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","7","","","","","","","","","","",""
"image-keyboard-response","8","51863","0.0-6.0-2.1","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","59899","0.0-6.0-1.2","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","7931","","","","rating","","trustrating_stim/white_mw066.bmp","3","","","","","","","","","","",""
"image-keyboard-response","10","60106","0.0-6.0-2.2","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","61992","0.0-6.0-1.3","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","1783","","","","rating","","trustrating_stim/white_mw063.bmp","5","","","","","","","","","","",""
"image-keyboard-response","12","62200","0.0-6.0-2.3","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","63721","0.0-6.0-1.4","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","1411","","","","rating","","trustrating_stim/white_mw048.bmp","6","","","","","","","","","","",""
"image-keyboard-response","14","63936","0.0-6.0-2.4","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","65315","0.0-6.0-1.5","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","1272","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","16","65520","0.0-6.0-2.5","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","67074","0.0-6.0-1.6","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","1446","","","","rating","","trustrating_stim/white_mw035.bmp","4","","","","","","","","","","",""
"image-keyboard-response","18","67276","0.0-6.0-2.6","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","68421","0.0-6.0-1.7","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","1039","","","","rating","","trustrating_stim/white_mw056.bmp","7","","","","","","","","","","",""
"image-keyboard-response","20","68630","0.0-6.0-2.7","5ec0d47ecf12be4ea2754516","bdp_trlrn","Sun Mar 12 2023 22:00:03 GMT-0500 (Central Daylight Time)","759957","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
