"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","23","0.0-0.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2922","0.0-1.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":2893}]","2893","","","","","","","","","","","","","","","","","",""
"","","","","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","","fullscreenenter","2","5627","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","6557","0.0-2.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","14852","0.0-4.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":6285},{""page_index"":1,""viewing_time"":2008}]","8293","","","","","","","","","","","","","","","","","",""
"instructions","4","15815","0.0-5.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":959}]","960","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","19395","0.0-6.0-1.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","3461","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","6","19614","0.0-6.0-2.0","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","22338","0.0-6.0-1.1","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","2612","","","","rating","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","","",""
"image-keyboard-response","8","22547","0.0-6.0-2.1","5ede9b80b8a141131edabbe1","bdp_trlrn","Wed Mar 15 2023 20:43:37 GMT-0700 (Pacific Daylight Time)","559323","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
