"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","1","0.0-0.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","8168","0.0-1.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":8166}]","8166","","","","","","","","","","","","","","","","","",""
"","","","","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","","fullscreenenter","2","9817","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","10801","0.0-2.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","17193","0.0-4.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":4962},{""page_index"":1,""viewing_time"":1428}]","6390","","","","","","","","","","","","","","","","","",""
"instructions","4","18187","0.0-5.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":993}]","994","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","22216","0.0-6.0-1.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","3922","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","6","22423","0.0-6.0-2.0","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","23907","0.0-6.0-1.1","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","1377","","","","rating","","trustrating_stim/white_mw084.bmp","3","","","","","","","","","","",""
"image-keyboard-response","8","24108","0.0-6.0-2.1","5f48dab70aa4ce3aa1914003","bdp_trlrn","Mon Mar 13 2023 11:25:12 GMT-0700 (Mountain Standard Time)","548092","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
