"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","instructions","1","3307","0.0-1.0","[{""page_index"":0,""viewing_time"":3300}]","3300","","","","","","","","","","","","","",""
"fullscreenexit","2","4863","fullscreenexit","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","fullscreen","2","5652","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","image-keyboard-response","3","6938","0.0-3.0-0.0","","1282","","","32","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","instructions","4","16714","0.0-4.0","[{""page_index"":0,""viewing_time"":6816},{""page_index"":1,""viewing_time"":2698}]","9514","","","","","","","","","","","","","",""
"","","","","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","instructions","5","17460","0.0-5.0","[{""page_index"":0,""viewing_time"":745}]","745","","","","","","","","","","","","","",""
"","","","rating","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","image-keyboard-response","6","19789","0.0-6.0-1.0","","2221","","trustrating_stim/white_mw063.bmp","4","","","","","","","","","","",""
"","","","ratingFB","6092dea4efd6d61350f0fdbf","bdp_trlrn","Wed Mar 15 2023 14:34:48 GMT-0500 (Central Daylight Time)","624486","Trustworthy,Untrustworthy","image-keyboard-response","7","19993","0.0-6.0-2.0","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
