"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","3","0.0-0.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","5780","0.0-1.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":5776}]","5776","","","","","","","","","","","","","","","","","","",""
"","","","","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","","fullscreenenter","2","79813","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","80770","0.0-2.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","94398","0.0-4.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":6345},{""page_index"":1,""viewing_time"":7281}]","13626","","","","","","","","","","","","","","","","","","",""
"instructions","4","107661","0.0-5.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":13260}]","13260","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","109290","0.0-6.0-1.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1524","","","","rating","","trustrating_stim/white_mw063.bmp","1","","","","","","","","","","","",""
"image-keyboard-response","6","109494","0.0-6.0-2.0","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","7","111016","0.0-6.0-1.1","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1419","","","","rating","","trustrating_stim/white_mw053.bmp","5","","","","","","","","","","","",""
"image-keyboard-response","8","111220","0.0-6.0-2.1","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","9","112654","0.0-6.0-1.2","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1332","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","10","112857","0.0-6.0-2.2","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","11","113978","0.0-6.0-1.3","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1018","","","","rating","","trustrating_stim/white_00129_931230_fb_edt.bmp","4","","","","","","","","","","","",""
"image-keyboard-response","12","114180","0.0-6.0-2.3","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","13","115297","0.0-6.0-1.4","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1014","","","","rating","","trustrating_stim/white_mw066.bmp","4","","","","","","","","","","","",""
"image-keyboard-response","14","115510","0.0-6.0-2.4","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","15","117261","0.0-6.0-1.5","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1648","","","","rating","","trustrating_stim/white_mw049.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","16","117464","0.0-6.0-2.5","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","17","119431","0.0-6.0-1.6","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","1864","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","1","","","","","","","","","","","",""
"image-keyboard-response","18","119633","0.0-6.0-2.6","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","19","120638","0.0-6.0-1.7","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","903","","","","rating","","trustrating_stim/white_mw097.bmp","1","","","","","","","","","","","",""
"image-keyboard-response","20","120841","0.0-6.0-2.7","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","21","123062","0.0-6.0-1.8","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","2119","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","3","","","","","","","","","","","",""
"image-keyboard-response","22","123264","0.0-6.0-2.8","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","23","124309","0.0-6.0-1.9","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","942","","","","rating","","trustrating_stim/white_mw048.bmp","1","","","","","","","","","","","",""
"image-keyboard-response","24","124511","0.0-6.0-2.9","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","","",""
"image-keyboard-response","25","125291","0.0-6.0-1.10","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","677","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","","","","",""
"image-keyboard-response","26","125494","0.0-6.0-2.10","60fdb99f392d7600a5d42c1f","bdp_trlrn","Thu Jul 28 2022 09:00:12 GMT-0700 (Pacific Daylight Time)","791547","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","","",""
