"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","4","0.0-0.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4649","0.0-1.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":4644}]","4644","","","","","","","","","","","","","","","","","",""
"","","","","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","","fullscreenenter","2","11603","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","12591","0.0-2.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","52186","0.0-4.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":18894},{""page_index"":1,""viewing_time"":20699}]","39593","","","","","","","","","","","","","","","","","",""
"instructions","4","53744","0.0-5.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":1557}]","1557","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","56368","0.0-6.0-1.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","2511","","","","rating","","trustrating_stim/white_00761_941201_fb_edt.bmp","4","","","","","","","","","","",""
"image-keyboard-response","6","56586","0.0-6.0-2.0","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","59440","0.0-6.0-1.1","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","2724","","","","rating","","trustrating_stim/white_mw056.bmp","4","","","","","","","","","","",""
"image-keyboard-response","8","59646","0.0-6.0-2.1","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","60992","0.0-6.0-1.2","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","1224","","","","rating","","trustrating_stim/white_mw084.bmp","4","","","","","","","","","","",""
"image-keyboard-response","10","61214","0.0-6.0-2.2","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","63921","0.0-6.0-1.3","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","2587","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","12","64124","0.0-6.0-2.3","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","65626","0.0-6.0-1.4","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","1377","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","14","65846","0.0-6.0-2.4","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","67150","0.0-6.0-1.5","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","1174","","","","rating","","trustrating_stim/white_mw046.bmp","4","","","","","","","","","","",""
"image-keyboard-response","16","67370","0.0-6.0-2.5","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","68408","0.0-6.0-1.6","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","921","","","","rating","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","","",""
"image-keyboard-response","18","68618","0.0-6.0-2.6","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"image-keyboard-response","19","69721","0.0-6.0-1.7","610189e61b2d3520eea21de6","bdp_trlrn","Mon Mar 13 2023 14:15:40 GMT-0400 (Eastern Daylight Time)","733713","Trustworthy,Untrustworthy","","981","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","","","",""
