"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","instructions","1","1839","0.0-1.0","[{""page_index"":0,""viewing_time"":1829}]","1829","","","","","","","","","","","","","",""
"fullscreenexit","2","4843","fullscreenexit","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","fullscreen","2","5803","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","3","8086","0.0-3.0-0.0","","2280","","","32","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","instructions","4","20514","0.0-4.0","[{""page_index"":0,""viewing_time"":4710},{""page_index"":1,""viewing_time"":7464}]","12174","","","","","","","","","","","","","",""
"","","","","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","instructions","5","21643","0.0-5.0","[{""page_index"":0,""viewing_time"":1126}]","1126","","","","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","6","23387","0.0-6.0-1.0","","1642","","trustrating_stim/white_00757_941201_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","7","23592","0.0-6.0-2.0","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","8","24643","0.0-6.0-1.1","","945","","trustrating_stim/white_mw033.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","9","24849","0.0-6.0-2.1","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","10","26131","0.0-6.0-1.2","","1176","","trustrating_stim/white_mw048.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","11","26333","0.0-6.0-2.2","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","12","27507","0.0-6.0-1.3","","1069","","trustrating_stim/white_mw071.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","13","27714","0.0-6.0-2.3","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","14","29042","0.0-6.0-1.4","","1223","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","15","29247","0.0-6.0-2.4","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","16","30402","0.0-6.0-1.5","","1053","","trustrating_stim/white_00129_931230_fb_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","17","30608","0.0-6.0-2.5","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","18","31914","0.0-6.0-1.6","","1201","","trustrating_stim/white_00340_940422_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","19","32117","0.0-6.0-2.6","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","20","33178","0.0-6.0-1.7","","959","","trustrating_stim/white_mw056.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","21","33382","0.0-6.0-2.7","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","22","34578","0.0-6.0-1.8","","1091","","trustrating_stim/white_mw084.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","23","34784","0.0-6.0-2.8","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","24","35650","0.0-6.0-1.9","","764","","trustrating_stim/white_mw063.bmp","2","","","","","","","","","","",""
"","","","ratingFB","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","25","35853","0.0-6.0-2.9","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"","","","rating","612fbc37af2136fe81fc71a9","bdp_trlrn","Tue Mar 14 2023 10:17:12 GMT-0700 (Pacific Daylight Time)","575373","Untrustworthy,Trustworthy","image-keyboard-response","26","37002","0.0-6.0-1.10","","1045","","trustrating_stim/white_00109_931230_fa_edt.bmp","3","","","","","","","","","","",""
