"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","pavlovia","0","13","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","instructions","1","7652","0.0-1.0","[{""page_index"":0,""viewing_time"":7639}]","7639","","","","","","","","","","","","","",""
"fullscreenexit","2","12593","fullscreenexit","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","fullscreen","2","13385","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","image-keyboard-response","3","19116","0.0-3.0-0.0","","5730","","","32","","","","","","","","","","",""
"","","","","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","instructions","4","39640","0.0-4.0","[{""page_index"":0,""viewing_time"":7778},{""page_index"":1,""viewing_time"":12484}]","20262","","","","","","","","","","","","","",""
"","","","","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","instructions","5","40991","0.0-5.0","[{""page_index"":0,""viewing_time"":1351}]","1351","","","","","","","","","","","","","",""
"","","","rating","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","image-keyboard-response","6","47616","0.0-6.0-1.0","","6524","","trustrating_stim/white_00120_931230_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","613107a0c7fc3a96a54c7693","bdp_trlrn","Tue Mar 14 2023 11:57:49 GMT-0500 (Central Daylight Time)","789517","Trustworthy,Untrustworthy","image-keyboard-response","7","47833","0.0-6.0-2.0","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","",""
