"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","numBlurs","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","instructions","1","9157","0.0-1.0","[{""page_index"":0,""viewing_time"":9151}]","9151","","","","","","","","","","","","","","",""
"fullscreenexit","2","13041","fullscreenexit","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","fullscreen","2","13794","0.0-2.0","","","true","","","","","","","","","","","","","",""
"blur","3","27217","blurevent","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","","","","","","","","1","","","","","","","","","","","","",""
"focus","3","28042","focusevent","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreenfail","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","image-keyboard-response","3","33538","0.0-3.0-0.0","","19740","","","","32","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","instructions","4","71323","0.0-4.0","[{""page_index"":0,""viewing_time"":19105},{""page_index"":1,""viewing_time"":18415}]","37520","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","instructions","5","77514","0.0-5.0","[{""page_index"":0,""viewing_time"":6190}]","6190","","","","","","","","","","","","","","",""
"","","","rating","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","image-keyboard-response","6","80835","0.0-6.0-1.0","","3200","","","trustrating_stim/white_00129_931230_fb_edt.bmp","4","","","","","","","","","","",""
"","","","ratingFB","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","image-keyboard-response","7","81048","0.0-6.0-2.0","","null","","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","image-keyboard-response","8","85106","0.0-6.0-1.1","","3948","","","trustrating_stim/white_mw063.bmp","1","","","","","","","","","","",""
"","","","ratingFB","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","image-keyboard-response","9","85321","0.0-6.0-2.1","","null","","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"","","","rating","636598a7a571403968d03bf2","bdp_trlrn","Tue Mar 14 2023 20:52:41 GMT-0400 (Eastern Daylight Time)","1062957","Trustworthy,Untrustworthy","image-keyboard-response","10","88627","0.0-6.0-1.2","","3195","","","trustrating_stim/white_00120_931230_fa_edt.bmp","7","","","","","","","","","","",""
