"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","instructions","1","2120","0.0-1.0","[{""page_index"":0,""viewing_time"":2117}]","2117","","","","","","","","","","","","","",""
"fullscreenexit","2","5458","fullscreenexit","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","fullscreen","2","6445","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","image-keyboard-response","3","8532","0.0-3.0-0.0","","2085","","","32","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","instructions","4","12474","0.0-4.0","[{""page_index"":0,""viewing_time"":2749},{""page_index"":1,""viewing_time"":941}]","3690","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","instructions","5","13256","0.0-5.0","[{""page_index"":0,""viewing_time"":781}]","781","","","","","","","","","","","","","",""
"","","","rating","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","image-keyboard-response","6","15101","0.0-6.0-1.0","","1738","","trustrating_stim/white_mw053.bmp","6","","","","","","","","","","",""
"","","","ratingFB","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","image-keyboard-response","7","15307","0.0-6.0-2.0","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"","","","rating","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","image-keyboard-response","8","16348","0.0-6.0-1.1","","938","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","63d80b500adef5b476e289a4","bdp_trlrn","Mon Mar 13 2023 14:36:54 GMT-0400 (Eastern Daylight Time)","427435","Untrustworthy,Trustworthy","image-keyboard-response","9","16552","0.0-6.0-2.1","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
