"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"focus","0","0","focusevent","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","pavlovia","0","12","0.0-0.0","","","","","","","","","","","","","","","","",""
"blur","1","3937","blurevent","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","","","","","1","","","","","","","","","","","","","","","",""
"focus","1","5915","focusevent","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","instructions","1","13466","0.0-1.0","","[{""page_index"":0,""viewing_time"":13450}]","13451","","","","","","","","","","","","","",""
"fullscreenexit","2","16755","fullscreenexit","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","fullscreen","2","17552","0.0-2.0","","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","image-keyboard-response","3","22725","0.0-3.0-0.0","","","5172","","","32","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","instructions","4","30873","0.0-4.0","","[{""page_index"":0,""viewing_time"":5987},{""page_index"":1,""viewing_time"":1898}]","7885","","","","","","","","","","","","","",""
"","","","","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","instructions","5","32589","0.0-5.0","","[{""page_index"":0,""viewing_time"":1716}]","1716","","","","","","","","","","","","","",""
"","","","rating","63d9f41910c61f3eb102079f","bdp_trlrn","Wed Mar 15 2023 14:40:47 GMT-0500 (Central Daylight Time)","1009847","Untrustworthy,Trustworthy","image-keyboard-response","6","39152","0.0-6.0-1.0","","","6461","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","","","",""
