"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","6","0.0-0.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3447","0.0-1.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":3439}]","3440","","","","","","","","","","","","","","","","","",""
"","","","","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","","fullscreenenter","2","16864","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","17861","0.0-2.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","57499","0.0-4.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":38503},{""page_index"":1,""viewing_time"":1130}]","39634","","","","","","","","","","","","","","","","","",""
"instructions","4","58457","0.0-5.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":957}]","957","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","60807","0.0-6.0-1.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","2244","","","","rating","","trustrating_stim/white_00898_960530_fa_edt.bmp","5","","","","","","","","","","",""
"image-keyboard-response","6","61010","0.0-6.0-2.0","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","63213","0.0-6.0-1.1","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","2099","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","8","63417","0.0-6.0-2.1","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","65388","0.0-6.0-1.2","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","1868","","","","rating","","trustrating_stim/white_mw053.bmp","1","","","","","","","","","","",""
"image-keyboard-response","10","65590","0.0-6.0-2.2","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","67044","0.0-6.0-1.3","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","1351","","","","rating","","trustrating_stim/white_mw060.bmp","2","","","","","","","","","","",""
"image-keyboard-response","12","67247","0.0-6.0-2.3","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","68899","0.0-6.0-1.4","63ead6f452e11793b2f8dab8","bdp_trlrn","Tue Mar 14 2023 18:24:29 GMT-0700 (Pacific Daylight Time)","650236","Untrustworthy,Trustworthy","","1550","","","","rating","","trustrating_stim/white_00807_941205_fb_edt.bmp","1","","","","","","","","","","",""
