"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","4","0.0-0.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4614","0.0-1.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":4609}]","4609","","","","","","","","","","","","","","","","","",""
"","","","","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","","fullscreenenter","2","6944","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","7943","0.0-2.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","36110","0.0-4.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":9326},{""page_index"":1,""viewing_time"":18840}]","28166","","","","","","","","","","","","","","","","","",""
"instructions","4","37830","0.0-5.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1719}]","1719","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","42958","0.0-6.0-1.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","5021","","","","rating","","trustrating_stim/white_mw035.bmp","5","","","","","","","","","","",""
"image-keyboard-response","6","43162","0.0-6.0-2.0","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","47066","0.0-6.0-1.1","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","3801","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","3","","","","","","","","","","",""
"image-keyboard-response","8","47268","0.0-6.0-2.1","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","50660","0.0-6.0-1.2","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","3288","","","","rating","","trustrating_stim/white_mw066.bmp","6","","","","","","","","","","",""
"image-keyboard-response","10","50864","0.0-6.0-2.2","63eeaedb26e599e86e8f7929","bdp_trlrn","Sat Apr 08 2023 12:27:47 GMT-0400 (Eastern Daylight Time)","985514","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
