"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"pavlovia","0","5","0.0-0.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6641","0.0-1.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":6635}]","6635","","","","","","","","","","","","","","","","","",""
"","","","","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","","fullscreenenter","2","10643","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","11584","0.0-2.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","28763","0.0-4.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":10642},{""page_index"":1,""viewing_time"":6535}]","17177","","","","","","","","","","","","","","","","","",""
"instructions","4","30267","0.0-5.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":1503}]","1503","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","32709","0.0-6.0-1.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","2325","","","","rating","","trustrating_stim/white_mw056.bmp","4","","","","","","","","","","",""
"image-keyboard-response","6","32924","0.0-6.0-2.0","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"image-keyboard-response","7","34653","0.0-6.0-1.1","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","1621","","","","rating","","trustrating_stim/white_00519_940519_fb_edt.bmp","7","","","","","","","","","","",""
"image-keyboard-response","8","34856","0.0-6.0-2.1","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","9","36247","0.0-6.0-1.2","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","1283","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","10","36457","0.0-6.0-2.2","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","11","37760","0.0-6.0-1.3","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","1197","","","","rating","","trustrating_stim/white_00340_940422_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","12","37970","0.0-6.0-2.3","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","13","39128","0.0-6.0-1.4","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","1050","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","2","","","","","","","","","","",""
"image-keyboard-response","14","39337","0.0-6.0-2.4","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"image-keyboard-response","15","40228","0.0-6.0-1.5","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","790","","","","rating","","trustrating_stim/white_mw099.bmp","2","","","","","","","","","","",""
"image-keyboard-response","16","40439","0.0-6.0-2.5","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"image-keyboard-response","17","42480","0.0-6.0-1.6","63f2e107c4d0bc684b99d2c6","bdp_trlrn","Sun Mar 12 2023 22:07:04 GMT-0400 (Eastern Daylight Time)","686409","Trustworthy,Untrustworthy","","1934","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","3","","","","","","","","","","",""
