"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"pavlovia","0","13","0.0-0.0","","","","","","","","","",""
"instructions","1","4896","0.0-1.0","[{""page_index"":0,""viewing_time"":4880}]","4880","","","","","","","",""
"","","","","","","fullscreenenter","2","7482","fullscreenenter","","","",""
"fullscreen","2","8415","0.0-2.0","","","","","","","true","","",""
"instructions","3","19094","0.0-4.0","[{""page_index"":0,""viewing_time"":6159},{""page_index"":1,""viewing_time"":4516}]","10676","","","","","","","",""
"instructions","4","28148","0.0-5.0","[{""page_index"":0,""viewing_time"":9052}]","9052","","","","","","","",""
"image-keyboard-response","5","33486","0.0-6.0-1.0","","5227","","","","rating","","trustrating_stim/white_mw046.bmp","6",""
"image-keyboard-response","6","33700","0.0-6.0-2.0","","null","","","","ratingFB","","trustrating_stim/white_mw046.bmp","null",""
"image-keyboard-response","7","38361","0.0-6.0-1.1","","4542","","","","rating","","trustrating_stim/white_mw071.bmp","3",""
"image-keyboard-response","8","38580","0.0-6.0-2.1","","null","","","","ratingFB","","trustrating_stim/white_mw071.bmp","null",""
"image-keyboard-response","9","41240","0.0-6.0-1.2","","2551","","","","rating","","trustrating_stim/white_00659_941121_fa_edt.bmp","6",""
"image-keyboard-response","10","41444","0.0-6.0-2.2","","null","","","","ratingFB","","trustrating_stim/white_00659_941121_fa_edt.bmp","null",""
"image-keyboard-response","11","43523","0.0-6.0-1.3","","1962","","","","rating","","trustrating_stim/white_mw060.bmp","8",""
"image-keyboard-response","12","43727","0.0-6.0-2.3","","null","","","","ratingFB","","trustrating_stim/white_mw060.bmp","null",""
"image-keyboard-response","13","45278","0.0-6.0-1.4","","1441","","","","rating","","trustrating_stim/white_00519_940519_fb_edt.bmp","2",""
"image-keyboard-response","14","45491","0.0-6.0-2.4","","null","","","","ratingFB","","trustrating_stim/white_00519_940519_fb_edt.bmp","null",""
"image-keyboard-response","15","47559","0.0-6.0-1.5","","1950","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","8",""
"image-keyboard-response","16","47768","0.0-6.0-2.5","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null",""
"image-keyboard-response","17","49330","0.0-6.0-1.6","","1443","","","","rating","","trustrating_stim/white_00898_960530_fa_edt.bmp","2",""
"image-keyboard-response","18","49547","0.0-6.0-2.6","","null","","","","ratingFB","","trustrating_stim/white_00898_960530_fa_edt.bmp","null",""
"image-keyboard-response","19","51214","0.0-6.0-1.7","","1554","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","1",""
"image-keyboard-response","20","51419","0.0-6.0-2.7","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null",""
"image-keyboard-response","21","54031","0.0-6.0-1.8","","2497","","","","rating","","trustrating_stim/white_00129_931230_fb_edt.bmp","3",""
"image-keyboard-response","22","54242","0.0-6.0-2.8","","null","","","","ratingFB","","trustrating_stim/white_00129_931230_fb_edt.bmp","null",""
"image-keyboard-response","23","58852","0.0-6.0-1.9","","4498","","","","rating","","trustrating_stim/white_mw066.bmp","4",""
