"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"focus","0","0","focusevent","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","instructions","1","6498","0.0-1.0","[{""page_index"":0,""viewing_time"":6496}]","6496","","","","","","","","","","","",""
"fullscreenexit","2","43074","fullscreenexit","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","fullscreen","2","43860","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","3","44685","0.0-3.0-0.0","","824","","","32","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","instructions","4","50881","0.0-4.0","[{""page_index"":0,""viewing_time"":1833},{""page_index"":1,""viewing_time"":4111}]","5944","","","","","","","","","","","",""
"","","","","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","instructions","5","52395","0.0-5.0","[{""page_index"":0,""viewing_time"":1513}]","1513","","","","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","6","53863","0.0-6.0-1.0","","1366","","trustrating_stim/white_00807_941205_fb_edt.bmp","8","","","","","","","","",""
"","","","ratingFB","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","7","54064","0.0-6.0-2.0","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","dfghdfgh","bdp_trlrn","Tue Oct 05 2021 13:21:44 GMT-0400 (Eastern Daylight Time)","255085","Untrustworthy,Trustworthy","image-keyboard-response","8","54557","0.0-6.0-1.1","","392","","trustrating_stim/white_mw084.bmp","3","","","","","","","","",""
