"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","3","0.0-0.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","","","","","","","","","","","","","","","","",""
"instructions","1","4581","0.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","[{""page_index"":0,""viewing_time"":4577}]","4577","","","","","","","","","","","","","","","",""
"","","","","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","","fullscreenenter","2","9650","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","10024","0.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","","","","","","true","","","","","","","","","","",""
"instructions","3","12236","0.0-4.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","[{""page_index"":0,""viewing_time"":1276},{""page_index"":1,""viewing_time"":935}]","2211","","","","","","","","","","","","","","","",""
"instructions","4","13252","0.0-5.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","[{""page_index"":0,""viewing_time"":1015}]","1015","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","15196","0.0-6.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","1841","","","","rating","","trustrating_stim/white_mw049.bmp","9","","","","","","","","",""
"image-keyboard-response","6","15401","0.0-6.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null","","","","","","","","",""
"image-keyboard-response","7","15772","0.0-6.0-1.1","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","265","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","8","","","","","","","","",""
"image-keyboard-response","8","15973","0.0-6.0-2.1","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"image-keyboard-response","9","16251","0.0-6.0-1.2","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","174","","","","rating","","trustrating_stim/white_mw051.bmp","7","","","","","","","","",""
"image-keyboard-response","10","16453","0.0-6.0-2.2","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","ratingFB","","trustrating_stim/white_mw051.bmp","null","","","","","","","","",""
"image-keyboard-response","11","16619","0.0-6.0-1.3","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","63","","","","rating","","trustrating_stim/white_mw048.bmp","6","","","","","","","","",""
"image-keyboard-response","12","16823","0.0-6.0-2.3","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","ratingFB","","trustrating_stim/white_mw048.bmp","null","","","","","","","","",""
"image-keyboard-response","13","16955","0.0-6.0-1.4","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","27","","","","rating","","trustrating_stim/white_mw040.bmp","4","","","","","","","","",""
"image-keyboard-response","14","17160","0.0-6.0-2.4","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","ratingFB","","trustrating_stim/white_mw040.bmp","null","","","","","","","","",""
"instructions","15","18244","0.0-7.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","[{""page_index"":0,""viewing_time"":982}]","982","","","","","","","","","","","","","","","",""
"instructions","16","22140","0.0-8.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","[{""page_index"":0,""viewing_time"":679},{""page_index"":1,""viewing_time"":472},{""page_index"":2,""viewing_time"":344},{""page_index"":3,""viewing_time"":584},{""page_index"":4,""viewing_time"":680},{""page_index"":5,""viewing_time"":369},{""page_index"":6,""viewing_time"":327},{""page_index"":7,""viewing_time"":336}]","3791","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","23292","0.0-9.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","1151","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","",""
"html-keyboard-response","18","23443","0.0-10.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","46","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#FF0000'>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"html-keyboard-response","19","23707","0.0-11.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","159","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","C","","","","","","","","",""
"html-keyboard-response","20","23860","0.0-12.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","49","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p style='color:#FF0000'>c) 3</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The maximum number of points you can choose to send to your partner is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"html-keyboard-response","21","24091","0.0-13.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","127","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p>c) It quadruples</p>","C","","","","","","","","",""
"html-keyboard-response","22","24195","0.0-14.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","2","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p style='color:#00FF00'>c) It quadruples</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The amount of points you send to your partner quadruples.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"html-keyboard-response","23","24388","0.0-15.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","91","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 out of 5 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p>c) 9</p>","C","","","","","","","","",""
"html-keyboard-response","24","24563","0.0-16.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","73","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 3</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p style='color:#00FF00'>c) 8</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>If you share 4 out of 5 points with your partner and he decided to share half with you, you would receive 8 points back (i.e. (4 x 4)/2 = 8), totaling to 9 points altogether.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"instructions","25","25812","0.0-17.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","[{""page_index"":0,""viewing_time"":1146}]","1146","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","26443","0.0-18.0-1.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","525","","","","decision","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 5</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw051.bmp'><br><font class='baseline'><strong>Jonathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0R.png' class='respPic'></p></div>","1","1","Jonathan","trustrating_stim/white_mw051.bmp","Kept","0.2,0.6","13","0.2","5","1"
"html-keyboard-response","27","27448","0.0-18.0-2.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","decisionFB","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 4</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw051.bmp'><br><font class='baseline'><strong>Jonathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0R1.png' class='respPic'></p></div>","null","1","Jonathan","trustrating_stim/white_mw051.bmp","Kept","0.2,0.6","13","0.2","4","1"
"html-keyboard-response","28","29452","0.0-18.0-3.0","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","feedback","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 4</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw051.bmp'><br><font class='baseline'><strong>Jonathan</strong><p>Received: <strong>4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Jonathan","trustrating_stim/white_mw051.bmp","Kept","0.2,0.6","13","0.2","4","1"
"html-keyboard-response","29","29771","0.0-18.0-1.1","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","318","","","","decision","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw048.bmp'><br><font class='baseline'><strong>Sebastian</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0R.png' class='respPic'></p></div>","2","1","Sebastian","trustrating_stim/white_mw048.bmp","Shared","0.8,0.4","10","0.8","9","2"
"html-keyboard-response","30","30773","0.0-18.0-2.1","dstest","bdp_trlrn","Wed Sep 09 2020 00:36:36 GMT-0400 (Eastern Daylight Time)","49553","","null","","","","decisionFB","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 7</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw048.bmp'><br><font class='baseline'><strong>Sebastian</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0R2.png' class='respPic'></p></div>","null","1","Sebastian","trustrating_stim/white_mw048.bmp","Shared","0.8,0.4","10","0.8","7","2"
