"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"focus","0","0","focusevent","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","pavlovia","0","5","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","instructions","1","2983","0.0-1.0","[{""page_index"":0,""viewing_time"":2976}]","2977","","","","","","","","","","","","","","",""
"fullscreenexit","2","6563","fullscreenexit","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","fullscreen","2","7275","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","fullscreenfail","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","image-keyboard-response","3","8189","0.0-3.0-0.0","","912","","","32","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","instructions","4","97335","0.0-4.0","[{""page_index"":0,""viewing_time"":18929},{""page_index"":1,""viewing_time"":31996},{""page_index"":2,""viewing_time"":18740},{""page_index"":3,""viewing_time"":7541},{""page_index"":4,""viewing_time"":11683}]","88889","","","","","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","5","97843","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","6","100855","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","3000","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","7","104864","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
