"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","8","0.0-0.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4182","0.0-1.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","[{""page_index"":0,""viewing_time"":4173}]","4173","","","","","","","","","","","","","","","","","","",""
"","","","","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","","fullscreenenter","2","6162","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","7105","0.0-2.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","19798","0.0-4.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","[{""page_index"":0,""viewing_time"":4314},{""page_index"":1,""viewing_time"":3052},{""page_index"":2,""viewing_time"":827},{""page_index"":3,""viewing_time"":907},{""page_index"":4,""viewing_time"":3592}]","12692","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","20304","0.0-5.0-1.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","21808","0.0-5.0-2.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","25809","0.0-5.0-3.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","31411","0.0-5.0-4.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","5599","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw040.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw042.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","31914","0.0-5.0-5.0","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","32417","0.0-5.0-1.1","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","36920","0.0-5.0-2.1","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw070.bmp","0,1,1","Match","e","4500","","","","",""
"html-keyboard-response","11","40923","0.0-5.0-3.1","5c047357d30e3200016dd9fa","bdp_wmem","Wed Mar 15 2023 19:18:31 GMT-0700 (Pacific Daylight Time)","536710","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
