"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3374","0.0-1.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","[{""page_index"":0,""viewing_time"":3371}]","3371","","","","","","","","","","","","","","","","","","",""
"","","","","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","","fullscreenenter","2","4892","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","5888","0.0-2.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","83268","0.0-4.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","[{""page_index"":0,""viewing_time"":13775},{""page_index"":1,""viewing_time"":36201},{""page_index"":2,""viewing_time"":18124},{""page_index"":3,""viewing_time"":3866},{""page_index"":4,""viewing_time"":5412}]","77378","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","83773","0.0-5.0-1.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","85279","0.0-5.0-2.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","6","89284","0.0-5.0-3.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","91209","0.0-5.0-4.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","1922","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw040.bmp","1","Match","e","1500","trustrating_stim/white_mw040.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","91716","0.0-5.0-5.0","5c09a1171907db0001602601","bdp_wmem","Tue Mar 14 2023 11:32:40 GMT-0500 (Central Daylight Time)","656701","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
