"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","9906","0.0-1.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","[{""page_index"":0,""viewing_time"":9903}]","9903","","","","","","","","","","","","","","","","","","",""
"","","","","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","","fullscreenenter","2","12532","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","13520","0.0-2.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","76912","0.0-4.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","[{""page_index"":0,""viewing_time"":32408},{""page_index"":1,""viewing_time"":21296},{""page_index"":2,""viewing_time"":2583},{""page_index"":3,""viewing_time"":2040},{""page_index"":4,""viewing_time"":5064}]","63391","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","77415","0.0-5.0-1.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","78917","0.0-5.0-2.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw070.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","6","82918","0.0-5.0-3.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","83753","0.0-5.0-4.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","833","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw070.bmp","1","Match","e","1500","trustrating_stim/white_mw070.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","84254","0.0-5.0-5.0","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","84755","0.0-5.0-1.1","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","89258","0.0-5.0-2.1","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw012.bmp","1,0,1","Match","e","4500","","","","",""
"html-keyboard-response","11","93259","0.0-5.0-3.1","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","94769","0.0-5.0-4.1","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","1509","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw012.bmp","1,0,1","Match","e","4500","trustrating_stim/white_mw013.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","13","95270","0.0-5.0-5.1","5d69d7e23aed95001b1aa05c","bdp_wmem","Sat Apr 08 2023 12:05:00 GMT-0400 (Eastern Daylight Time)","598696","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
