"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","3","0.0-0.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","1989","0.0-1.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","[{""page_index"":0,""viewing_time"":1986}]","1986","","","","","","","","","","","","","","","","","","",""
"","","","","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","","fullscreenenter","2","3931","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","4927","0.0-2.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","127140","0.0-4.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","[{""page_index"":0,""viewing_time"":28949},{""page_index"":1,""viewing_time"":45069},{""page_index"":2,""viewing_time"":13704},{""page_index"":3,""viewing_time"":5428},{""page_index"":4,""viewing_time"":29062}]","122212","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","127651","0.0-5.0-1.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","130660","0.0-5.0-2.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw085.bmp","1,0","noMatchFace","i","3000","","","","",""
"html-keyboard-response","6","134664","0.0-5.0-3.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","137781","0.0-5.0-4.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","3115","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw085.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw091.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","138291","0.0-5.0-5.0","5de8887aa2db898017debf1a","bdp_wmem","Mon Mar 13 2023 21:27:36 GMT-0700 (Pacific Daylight Time)","643992","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
