"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"pavlovia","0","5","0.0-0.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","1474","0.0-1.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","[{""page_index"":0,""viewing_time"":1467}]","1467","","","","","","","","","","","","","","","","","","","",""
"","","","","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","","fullscreenenter","2","7188","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","8166","0.0-2.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"instructions","3","21708","0.0-4.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","[{""page_index"":0,""viewing_time"":2129},{""page_index"":1,""viewing_time"":2438},{""page_index"":2,""viewing_time"":3840},{""page_index"":3,""viewing_time"":716},{""page_index"":4,""viewing_time"":4415}]","13538","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","22215","0.0-5.0-1.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","5","26720","0.0-5.0-2.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw012.bmp","0,0,1","noMatchOutcome","i","4500","","","","","",""
"html-keyboard-response","6","30721","0.0-5.0-3.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","7","32234","0.0-5.0-4.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","1509","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw012.bmp","0,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw003.bmp","green","Share","PRACTICE","0",""
"html-keyboard-response","8","32737","0.0-5.0-5.0","5f932e6a3ceaf50d5768745b","bdp_wmem","Wed Mar 15 2023 15:27:36 GMT-0400 (Eastern Daylight Time)","526611","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
