"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","10","0.0-0.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","1925","0.0-1.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","[{""page_index"":0,""viewing_time"":1912}]","1912","","","","","","","","","","","","","","","","","","",""
"","","","","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","","fullscreenenter","2","4468","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","5460","0.0-2.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","162489","0.0-4.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","[{""page_index"":0,""viewing_time"":38534},{""page_index"":1,""viewing_time"":56402},{""page_index"":2,""viewing_time"":41963},{""page_index"":3,""viewing_time"":9397},{""page_index"":4,""viewing_time"":10725}]","157021","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","163000","0.0-5.0-1.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","167510","0.0-5.0-2.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","0,1,1","Match","e","4500","","","","",""
"html-keyboard-response","6","171516","0.0-5.0-3.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","174442","0.0-5.0-4.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","2914","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","0,1,1","Match","e","4500","trustrating_stim/white_mw012.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","174947","0.0-5.0-5.0","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","175452","0.0-5.0-1.1","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","178464","0.0-5.0-2.1","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw091.bmp","1,0","noMatchFace","i","3000","","","","",""
"html-keyboard-response","11","182468","0.0-5.0-3.1","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","184864","0.0-5.0-4.1","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","2385","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw091.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw070.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","13","185372","0.0-5.0-5.1","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","185879","0.0-5.0-1.2","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","187386","0.0-5.0-2.2","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw070.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","16","191390","0.0-5.0-3.2","60234c1d5a0cf81cba76ce5d","bdp_wmem","Fri Mar 10 2023 14:47:35 GMT-0500 (Eastern Standard Time)","679388","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
