"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","36410","0.0-1.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","[{""page_index"":0,""viewing_time"":36407}]","36407","","","","","","","","","","","","","","","","","","",""
"","","","","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","","fullscreenenter","2","38672","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","39663","0.0-2.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","128392","0.0-4.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","[{""page_index"":0,""viewing_time"":24457},{""page_index"":1,""viewing_time"":17471},{""page_index"":2,""viewing_time"":8675},{""page_index"":3,""viewing_time"":4916},{""page_index"":4,""viewing_time"":33209}]","88728","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","128898","0.0-5.0-1.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","133401","0.0-5.0-2.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw085.bmp","1,1,0","Match","e","4500","","","","",""
"html-keyboard-response","6","137402","0.0-5.0-3.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","138854","0.0-5.0-4.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","1451","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw085.bmp","1,1,0","Match","e","4500","trustrating_stim/white_mw091.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","139356","0.0-5.0-5.0","60761cf3cc35a2a9b127b414","bdp_wmem","Wed Mar 15 2023 15:29:46 GMT-0400 (Eastern Daylight Time)","641788","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
