"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","3","0.0-0.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4682","0.0-1.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","[{""page_index"":0,""viewing_time"":4679}]","4679","","","","","","","","","","","","","","","","","","",""
"","","","","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","","fullscreenenter","2","10533","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","11520","0.0-2.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","136192","0.0-4.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","[{""page_index"":0,""viewing_time"":33718},{""page_index"":1,""viewing_time"":48679},{""page_index"":2,""viewing_time"":14237},{""page_index"":3,""viewing_time"":11605},{""page_index"":4,""viewing_time"":16432}]","124671","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","136695","0.0-5.0-1.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","138197","0.0-5.0-2.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","142199","0.0-5.0-3.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","144571","0.0-5.0-4.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","2371","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw042.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","145072","0.0-5.0-5.0","62acc04d0a7788636b0e9915","bdp_wmem","Sat Apr 08 2023 12:23:53 GMT-0400 (Eastern Daylight Time)","653562","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
