"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"blur","0","0","blurevent","1","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","instructions","1","4804","0.0-1.0","[{""page_index"":0,""viewing_time"":4797}]","4797","","","","","","","","","","","","","","",""
"fullscreenenter","2","6926","fullscreenenter","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","fullscreen","2","7915","0.0-2.0","","","true","","","","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","instructions","3","121811","0.0-4.0","[{""page_index"":0,""viewing_time"":29604},{""page_index"":1,""viewing_time"":32776},{""page_index"":2,""viewing_time"":26369},{""page_index"":3,""viewing_time"":14295},{""page_index"":4,""viewing_time"":10848}]","113892","","","","","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","4","122319","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","5","123822","0.0-5.0-2.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","0","noMatchFace","i","1500","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","6","127830","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
