"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","1","0.0-0.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3393","0.0-1.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","[{""page_index"":0,""viewing_time"":3392}]","3392","","","","","","","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","","fullscreenenter","2","4991","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","5981","0.0-2.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","139860","0.0-4.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","[{""page_index"":0,""viewing_time"":22148},{""page_index"":1,""viewing_time"":54310},{""page_index"":2,""viewing_time"":36084},{""page_index"":3,""viewing_time"":9699},{""page_index"":4,""viewing_time"":11637}]","133878","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","140375","0.0-5.0-1.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","143377","0.0-5.0-2.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1","noMatchOutcome","i","3000","","","","",""
"html-keyboard-response","6","147379","0.0-5.0-3.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","150308","0.0-5.0-4.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","2928","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1","noMatchOutcome","i","3000","trustrating_stim/white_mw040.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","150809","0.0-5.0-5.0","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","151310","0.0-5.0-1.1","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","152812","0.0-5.0-2.1","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw078.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","11","156813","0.0-5.0-3.1","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","158277","0.0-5.0-4.1","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","1463","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw078.bmp","1","Match","e","1500","trustrating_stim/white_mw078.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","13","158778","0.0-5.0-5.1","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","159280","0.0-5.0-1.2","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","163781","0.0-5.0-2.2","63034df51d918e1e3b97e5ce","bdp_wmem","Thu Mar 16 2023 00:03:52 GMT-0400 (Eastern Daylight Time)","669390","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp","0,1,0","Match","e","4500","","","","",""
