"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","885","0.0-1.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","[{""page_index"":0,""viewing_time"":883}]","883","","","","","","","","","","","","","","","","","","",""
"","","","","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","","fullscreenenter","2","2061","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","3053","0.0-2.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","12541","0.0-4.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","[{""page_index"":0,""viewing_time"":7302},{""page_index"":1,""viewing_time"":1041},{""page_index"":2,""viewing_time"":438},{""page_index"":3,""viewing_time"":291},{""page_index"":4,""viewing_time"":415}]","9487","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","13042","0.0-5.0-1.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","14543","0.0-5.0-2.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","18544","0.0-5.0-3.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","20827","0.0-5.0-4.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","2282","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw070.bmp","red","Keep","PRACTICE","0"
"html-keyboard-response","8","21328","0.0-5.0-5.0","63d17cf704d2d7053d56b962","bdp_wmem","Tue Mar 14 2023 21:24:28 GMT-0400 (Eastern Daylight Time)","507150","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
