"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr","numBlurs"
"pavlovia","0","1","0.0-0.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2007","0.0-1.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","[{""page_index"":0,""viewing_time"":2006}]","2006","","","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","","fullscreenenter","2","4013","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","5005","0.0-2.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","","","","","","true","","","","","","","","","","","","","","",""
"instructions","3","65938","0.0-4.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","[{""page_index"":0,""viewing_time"":15181},{""page_index"":1,""viewing_time"":26392},{""page_index"":2,""viewing_time"":10407},{""page_index"":3,""viewing_time"":1307},{""page_index"":4,""viewing_time"":7645}]","60932","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","66439","0.0-5.0-1.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","5","67941","0.0-5.0-2.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","1","noMatchFace","i","1500","","","","","",""
"html-keyboard-response","6","71943","0.0-5.0-3.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
"html-keyboard-response","7","74396","0.0-5.0-4.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","2452","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw092.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw070.bmp","green","Share","PRACTICE","0",""
"html-keyboard-response","8","74897","0.0-5.0-5.0","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","","",""
"html-keyboard-response","9","75399","0.0-5.0-1.1","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","","",""
"html-keyboard-response","10","79902","0.0-5.0-2.1","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw010.bmp","1,1,0","Match","e","4500","","","","","",""
"html-keyboard-response","11","83903","0.0-5.0-3.1","63ea79021f0c43def6174042","bdp_wmem","Mon Mar 13 2023 23:41:39 GMT-0500 (Central Daylight Time)","586830","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","","",""
