"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","5","0.0-0.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6916","0.0-1.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","[{""page_index"":0,""viewing_time"":6911}]","6911","","","","","","","","","","","","","","","","","","",""
"","","","","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","","fullscreenenter","2","25666","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","26614","0.0-2.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","114566","0.0-4.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","[{""page_index"":0,""viewing_time"":22558},{""page_index"":1,""viewing_time"":35142},{""page_index"":2,""viewing_time"":13913},{""page_index"":3,""viewing_time"":6712},{""page_index"":4,""viewing_time"":9624}]","87950","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","115071","0.0-5.0-1.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","119586","0.0-5.0-2.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw038.bmp","1,1,0","Match","e","4500","","","","",""
"html-keyboard-response","6","123592","0.0-5.0-3.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","125612","0.0-5.0-4.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","2013","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw038.bmp","1,1,0","Match","e","4500","trustrating_stim/white_mw038.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","126117","0.0-5.0-5.0","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","126622","0.0-5.0-1.1","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","128134","0.0-5.0-2.1","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","11","132141","0.0-5.0-3.1","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","133502","0.0-5.0-4.1","63ed9dbc1c7838ffcbb42142","bdp_wmem","Tue Mar 14 2023 18:35:19 GMT-0700 (Pacific Daylight Time)","629800","Match,No Match","","1355","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw040.bmp","1","Match","e","1500","trustrating_stim/white_mw040.bmp","green","Share","PRACTICE","1"
