"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","6269","0.0-1.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","[{""page_index"":0,""viewing_time"":6267}]","6267","","","","","","","","","","","","","","","","","","",""
"","","","","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","","fullscreenenter","2","8423","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","9416","0.0-2.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","86193","0.0-4.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","[{""page_index"":0,""viewing_time"":20115},{""page_index"":1,""viewing_time"":29291},{""page_index"":2,""viewing_time"":12823},{""page_index"":3,""viewing_time"":7151},{""page_index"":4,""viewing_time"":7396}]","76776","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","86694","0.0-5.0-1.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","89695","0.0-5.0-2.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","6","93696","0.0-5.0-3.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","95068","0.0-5.0-4.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","1371","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw013.bmp","1,0","Match","e","3000","trustrating_stim/white_mw038.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","95569","0.0-5.0-5.0","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","96071","0.0-5.0-1.1","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","100573","0.0-5.0-2.1","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw085.bmp","0,0,1","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","11","104574","0.0-5.0-3.1","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","105888","0.0-5.0-4.1","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","1314","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw085.bmp","0,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw085.bmp","red","Keep","PRACTICE","0"
"html-keyboard-response","13","106390","0.0-5.0-5.1","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","106891","0.0-5.0-1.2","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","109892","0.0-5.0-2.2","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","1,0","noMatchOutcome","i","3000","","","","",""
"html-keyboard-response","16","113892","0.0-5.0-3.2","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","17","116603","0.0-5.0-4.2","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","2710","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","1,0","noMatchOutcome","i","3000","trustrating_stim/white_mw040.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","18","117104","0.0-5.0-5.2","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","19","117605","0.0-5.0-1.3","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","20","119106","0.0-5.0-2.3","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw040.bmp","0","Match","e","1500","","","","",""
"html-keyboard-response","21","123107","0.0-5.0-3.3","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","22","124250","0.0-5.0-4.3","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","1142","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw040.bmp","0","Match","e","1500","trustrating_stim/white_mw040.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","23","124751","0.0-5.0-5.3","63f93d2de413ad49cf0dbff1","bdp_wmem","Wed Mar 15 2023 12:32:43 GMT-0700 (Pacific Daylight Time)","594637","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
