"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","2","0.0-0.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","8714","0.0-1.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","[{""page_index"":0,""viewing_time"":8712}]","8712","","","","","","","","","","","","","","","","","","",""
"","","","","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","","fullscreenenter","2","10473","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","11456","0.0-2.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","78084","0.0-4.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","[{""page_index"":0,""viewing_time"":24734},{""page_index"":1,""viewing_time"":23297},{""page_index"":2,""viewing_time"":10219},{""page_index"":3,""viewing_time"":3379},{""page_index"":4,""viewing_time"":4999}]","66628","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","78586","0.0-5.0-1.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","83088","0.0-5.0-2.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw070.bmp","1,1,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","6","87089","0.0-5.0-3.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","89283","0.0-5.0-4.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","2193","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw070.bmp","1,1,0","noMatchOutcome","i","4500","trustrating_stim/white_mw012.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","89784","0.0-5.0-5.0","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","90286","0.0-5.0-1.1","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","94788","0.0-5.0-2.1","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw070.bmp","0,0,1","Match","e","4500","","","","",""
"html-keyboard-response","11","98789","0.0-5.0-3.1","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","100472","0.0-5.0-4.1","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","1682","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw070.bmp","0,0,1","Match","e","4500","trustrating_stim/white_mw010.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","13","100973","0.0-5.0-5.1","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","101475","0.0-5.0-1.2","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","102976","0.0-5.0-2.2","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw010.bmp","1","noMatchFace","i","1500","","","","",""
"html-keyboard-response","16","106977","0.0-5.0-3.2","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","17","108720","0.0-5.0-4.2","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","1743","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw010.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw085.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","18","109221","0.0-5.0-5.2","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","19","109722","0.0-5.0-1.3","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","20","112724","0.0-5.0-2.3","63fac97f0d4e8f6bfd753d90","bdp_wmem","Wed Mar 15 2023 21:08:16 GMT-0700 (Pacific Daylight Time)","582059","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw042.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","","","","",""
