"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","7","0.0-0.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2309","0.0-1.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","[{""page_index"":0,""viewing_time"":2301}]","2301","","","","","","","","","","","","","","","","","","",""
"","","","","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","","fullscreenenter","2","5939","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","6940","0.0-2.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","163876","0.0-4.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","[{""page_index"":0,""viewing_time"":48353},{""page_index"":1,""viewing_time"":58297},{""page_index"":2,""viewing_time"":35144},{""page_index"":3,""viewing_time"":5070},{""page_index"":4,""viewing_time"":10069}]","156933","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","164383","0.0-5.0-1.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","165902","0.0-5.0-2.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","169906","0.0-5.0-3.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","172039","0.0-5.0-4.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","2130","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw042.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","8","172555","0.0-5.0-5.0","6400df3b4bd1fb13b52727fe","bdp_wmem","Tue Mar 14 2023 22:09:57 GMT-0400 (Eastern Daylight Time)","694072","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
