PROLIFIC_PID,distFromMedQA_lowMC_ltMADCutOff_goodSub,distFromMedQAAll_lowMC_ltMADCutOff_goodSub,Age,Race,HLS_ethnicity,BirthSex,Education,LEC-A_6,LEC-A_7,LEC-A_8,LEC-A_9,LEC-A_10,LEC-A_11,LEC-A_17,LEC-6-FU-Age,LEC-7-FU-Age,LEC-8-FU-Age,LEC-9-FU-Age,LEC-10-FU-Age,LEC-11-FU-Age,LEC-16-FU-Age,trust_rat_mean,trust_rat_std,trust_subjLR_bOC,trust_subjD_bOC,trust_subjNLL_bOC,trust_subjLRTp_bOC,trust_subjLR_3prm,trust_subjD_3prm,trust_subjp0_3prm,trust_subjNLL_3prm,trust_subjLRTp_3prm,trust_BIC_bOC,trust_BIC_3prm,lott_subjLR_bOC,lott_subjD_bOC,lott_subjNLL_bOC,lott_subjLRTp_bOC,lott_subjLR_3prm,lott_subjD_3prm,lott_subjp0_3prm,lott_subjNLL_3prm,lott_subjLRTp_3prm,lott_BIC_bOC,lott_BIC_3prm,trustDiscrim_fitOffset,trustDiscrim_fitScale,trustDiscrim_fitSlope
5f2f86864fd821374b4367bc,0,0,28,3,2,2,13,0,0,1,1,0,0,0,,,10,33,,,,5.25,3.197589134,0.356241445,0.999954602,137.1288889,1.26E-34,0.059798411,0.999954602,-1,121.1747249,1.35E-41,,,4.54E-05,0.000286829,212.4481316,1,0.37950257,0.431036612,-1,208.7790436,0.006768032,,,1,2.787223308,0.029481301
61492ac26b91b5b11ba2c88b,1,0,22,5,2,2,15,1,0,1,1,0,0,1,19,,20,21,,,26,4.216666667,2.597858745,0.18676346,0.747243236,192.4614755,2.58E-10,0.176201059,0.725222464,-0.256185874,192.2338104,2.04E-10,394.6885548,399.1160266,0.182842768,0.241104426,195.1084564,3.90E-09,0.183958441,0.169046477,-0.864941008,192.7074772,3.32E-10,399.9825167,400.0633602,1.164772729,4,0.031471476
60234c1d5a0cf81cba76ce5d,1,1,26,3,2,2,16,0,0,0,0,0,0,0,,,,,,,,4.833333333,2.694417749,0.440734787,0.535424914,206.2734436,0.000442235,0.479796378,0.523601981,-0.596670033,205.6691421,0.00023188,422.312491,425.9866899,0.020688766,0.999954602,210.5793324,0.053349283,0.014298532,0.847338617,-0.160878816,210.3706435,0.04162661,430.9242687,435.3896928,1.724349217,2.278574294,0.068759534
6362aca86b740b1ec4cb6efb,1,0,40,3,2,1,12,0,0,0,0,0,0,0,,,,,,,,4.916666667,3.416270474,0.24657343,0.999954602,170.2137753,3.91E-20,0.081267074,0.999954602,-1,158.6645755,3.35E-25,350.1931544,331.9775569,0.227700641,0.999954602,176.18252,1.65E-17,0.098201444,0.999954602,-1,173.1913745,7.96E-19,362.1306438,361.0311547,1.000001751,1.897783021,0.008077545
60fcd2b146529d02f1566012,1,1,21,5,2,2,16,0,0,1,1,0,0,0,,,24,23,,,,5.383333333,1.949286412,0.160709723,0.999954602,172.5383641,4.11E-19,0.143407584,0.999954602,-0.457476659,171.6159193,1.62E-19,354.8423321,357.8802443,0.218513369,0.999954602,186.0911788,3.87E-13,0.111253099,0.999954602,-1,182.4682317,9.70E-15,381.9479615,379.5848691,2.461664524,1.110761861,-0.039505343
63ed12d2c25b08ba24fe8a41,1,1,30,2,2,2,12,1,0,1,1,0,0,0,14,,23,23,,,,5.25,2.005289615,0.244371806,0.817113571,201.1857284,2.08E-06,0.228421361,0.802974894,-0.270698855,200.9638381,1.65E-06,412.1370607,416.5760819,0.525092294,0.475351314,171.6983845,1.76E-19,0.523596577,0.47656139,0.076303542,171.6876124,1.74E-19,353.1623728,358.0236306,2.257737622,1.598161119,0.059270807
5d412a9013864b0015b14b31,1,1,29,2,2,2,16,0,0,0,1,0,0,0,,,,13,,,,4.683333333,1.5348126,0.523182799,0.984542555,181.5587899,3.85E-15,0.483174825,0.96444951,-1,180.028694,8.15E-16,372.8831836,374.7057938,0.011322135,4.54E-05,211.5659464,0.184659945,0.037548328,4.54E-05,-0.551763969,209.606306,0.017169181,432.8974967,433.8610178,2.327503651,2.129083607,0.040784789
62ec219e5f3634408fb35580,1,1,31,5,2,2,16,0,0,0,0,0,0,0,,,,,,,,4.433333333,2.367625333,0.75775987,0.999954602,149.2320578,2.48E-29,0.768477179,0.999954602,-0.437519349,148.951904,1.87E-29,308.2297195,312.5522139,0.076756487,0.829627727,203.7700801,3.11E-05,0.076882788,0.999954602,0.605417984,201.5864819,3.16E-06,417.3057641,417.8213695,1,3.445558494,0.035805865
594936ad4152bf0001bfd5cd,1,1,29,5,2,2,13,0,0,0,0,0,0,0,,,,,,,,4.8,0.514204998,0.469854067,0.999954602,164.0574376,7.76E-23,0.457839235,0.999954602,-0.120267018,164.0325341,7.57E-23,337.8804791,342.7134739,0.626236871,0.864853551,173.8154256,1.50E-18,0.626152242,0.865413794,0.046265389,173.8117983,1.49E-18,357.396455,362.2720025,2.787681127,0.697365019,0.07541277
63d842d3e9626bd5fe5c17b1,1,1,25,2,2,1,16,1,0,0,0,0,0,0,10,,,,,,,5,0,0.094294896,0.096572084,206.3180121,0.000463868,4.54E-05,0.00126453,0.848332355,193.278315,5.96E-10,422.4016281,401.2050357,0.009393782,4.54E-05,212.0195246,0.355829243,0.039050895,0.999954602,1,203.7206682,2.95E-05,433.8046531,422.0897422,2.319616971,1.303947874,0.001220287
